2026-01-17 10:04:49,517 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-17 10:04:51,025 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-17 10:05:10,755 - INFO - Phone migrated to 4
2026-01-17 10:05:10,873 - INFO - Reconnecting to new data center 4
2026-01-17 10:05:10,992 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2026-01-17 10:05:10,993 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2026-01-17 10:05:10,993 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2026-01-17 10:05:12,541 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2026-01-17 10:05:54,452 - INFO - Started scraping CheMed1
2026-01-17 10:05:54,562 - ERROR - Error scraping CheMed1: No user has "chemed1" as username
2026-01-17 10:05:54,562 - INFO - Started scraping lobelia4cosmetics
2026-01-17 10:05:55,104 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:05:55,580 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:05:55,881 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:05:56,549 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:05:57,115 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:05:57,577 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:05:57,775 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:05:58,371 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:05:58,762 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:05:59,082 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:05:59,461 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:00,049 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:00,633 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:01,310 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:01,540 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:01,775 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:02,184 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:02,782 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:03,341 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:04,199 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:04,405 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:05,011 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:05,855 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:07,210 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:08,124 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:08,522 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:09,154 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:09,469 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:09,684 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:10,233 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:10,744 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:11,269 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:11,462 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:11,654 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:11,883 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:12,751 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:13,437 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:13,997 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:14,831 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:15,733 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:16,381 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:16,578 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:17,239 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:17,742 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:18,131 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:18,844 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:19,574 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:20,166 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:21,405 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:22,147 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:24,138 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:25,785 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:26,952 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:28,456 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:29,111 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
